Peak,Compound,mean_RT,335,342,343,344,346,349,350,351,352,354
P1,,4.1256,4.125,4.125,4.125,4.125,4.125,4.131,4.125,4.125,4.125,4.125
P2,,4.3285,4.335,4.322,NA,NA,NA,NA,NA,NA,NA,NA
P3,,4.68466666666667,NA,NA,NA,NA,NA,NA,4.691,4.691,4.672,NA
P4,,5.20633333333333,5.206,NA,NA,NA,NA,NA,5.207,5.206,NA,NA
P5,,5.824,NA,NA,NA,NA,NA,NA,NA,5.824,NA,NA
P6,,6.1149,6.116,6.116,6.129,6.116,6.116,6.11,6.11,6.116,6.11,6.11
P7,,6.5184,6.517,6.523,6.524,6.523,6.524,6.504,6.517,6.511,6.524,6.517
P8,,6.83933333333333,NA,NA,NA,NA,6.854,6.835,6.835,6.835,6.842,6.835
P9,,6.909875,NA,6.918,6.924,NA,6.905,6.912,6.905,6.905,6.905,6.905
P10,,7.4454,7.44,7.44,7.446,7.452,7.446,7.446,7.446,7.446,7.446,7.446
P11,,9.176,NA,NA,NA,NA,NA,NA,NA,9.176,NA,NA
P12,,10.016,NA,NA,NA,NA,NA,NA,10.016,NA,NA,NA
P13,,10.945,NA,NA,NA,NA,NA,NA,10.945,NA,NA,NA
P14,,11.7524,11.747,11.747,11.753,11.753,11.753,11.753,11.753,11.759,11.753,11.753
P15,,12.313,NA,12.313,NA,NA,NA,NA,NA,NA,NA,NA
P16,,15.9759,15.977,15.971,15.977,15.977,15.984,15.977,15.971,15.971,15.977,15.977
P17,,16.1205,16.092,NA,16.117,16.136,16.111,16.13,NA,NA,16.137,NA
P18,,18.001,NA,NA,NA,NA,18.001,NA,NA,NA,NA,NA
P19,,19.9224444444444,19.909,19.928,19.915,19.941,19.941,19.928,19.909,19.922,NA,19.909
P20,,20.488,NA,20.488,NA,NA,NA,NA,NA,NA,NA,NA
P21,,20.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.761
P22,,21.5506666666667,21.544,21.57,21.652,NA,NA,NA,21.551,21.436,21.551,NA
P23,,21.754,NA,NA,NA,21.754,NA,NA,NA,NA,NA,NA
P24,,22.823,NA,NA,NA,NA,NA,NA,NA,22.823,NA,NA
P25,,23.1725,NA,NA,NA,NA,NA,NA,23.179,23.166,NA,NA
