Peak,Compound,mean_RT,328,331,332,333,334,337,338,339,341,345
P1,,4.125,4.138,4.125,4.131,4.125,4.125,4.119,4.119,4.125,4.119,4.125
P2,,4.341,NA,NA,NA,NA,NA,NA,NA,4.341,NA,NA
P3,,5.229,NA,NA,5.245,NA,NA,5.219,NA,5.219,NA,5.232
P4,,5.97,NA,NA,5.97,NA,NA,NA,NA,NA,NA,NA
P5,,6.106,NA,6.116,6.104,6.104,6.097,6.104,NA,6.097,6.116,6.11
P6,,6.314,NA,NA,NA,NA,6.307,NA,NA,6.32,NA,NA
P7,,6.52,6.549,6.53,6.517,6.53,6.517,6.511,6.504,6.511,6.524,6.511
P8,,6.884,NA,NA,NA,NA,6.899,NA,NA,6.899,NA,6.854
P9,,6.934,NA,NA,NA,NA,NA,NA,NA,NA,6.931,6.937
P10,,7.447,7.459,7.452,7.446,7.446,7.446,7.446,7.44,7.44,7.446,7.446
P11,,9.73,NA,NA,NA,NA,9.73,NA,NA,NA,NA,NA
P12,,9.984,NA,NA,9.984,NA,NA,NA,NA,NA,NA,NA
P13,,11.751,11.766,11.753,11.753,11.753,11.753,11.747,11.747,11.74,11.753,11.747
P14,,12.224,NA,NA,NA,NA,12.224,NA,NA,NA,NA,NA
P15,,13.089,NA,NA,NA,NA,NA,13.089,NA,NA,NA,NA
P16,,15.973,NA,15.984,NA,15.977,15.971,15.965,15.971,15.971,15.971,15.977
P17,,16.125,NA,16.092,16.149,NA,16.098,16.162,16.168,16.105,16.073,16.156
P18,,18.153,NA,18.153,NA,NA,NA,NA,NA,NA,NA,NA
P19,,19.943,20.011,19.934,19.928,19.966,19.935,19.934,19.928,19.928,19.935,19.935
P20,,20.749,NA,NA,NA,NA,NA,NA,NA,20.749,NA,NA
P21,,21.673,NA,21.627,21.62,NA,NA,NA,NA,NA,21.773,NA
P22,,22.645,NA,NA,22.645,NA,NA,NA,NA,NA,NA,NA
P23,,23.279,23.325,23.268,23.287,23.287,23.262,23.287,23.268,23.262,23.268,23.281
P24,,23.539,23.644,NA,23.484,NA,NA,23.561,23.529,23.478,NA,NA
P25,C19_ene_NA,24.142,NA,24.076,24.121,24.235,24.127,NA,24.21,24.121,24.165,24.083
P26,,24.379,24.452,NA,NA,NA,NA,24.305,NA,NA,NA,NA
P27,,24.613,NA,24.572,24.636,NA,24.63,NA,NA,NA,NA,NA
P28,,26.271,26.297,26.265,NA,26.284,26.265,26.271,26.271,26.265,26.265,26.252
P29,,26.597,NA,26.621,26.621,NA,26.596,NA,NA,NA,NA,26.551
P30,,27.059,NA,27.066,27.098,NA,27.022,NA,NA,27.028,NA,27.079
P31,,27.23,NA,NA,NA,27.27,NA,27.213,27.206,NA,NA,NA
P32,C21_ene_NA,27.816,NA,27.823,27.836,NA,27.804,NA,NA,27.792,27.83,27.811
P33,C21_ene_NA,27.919,NA,NA,NA,27.9,27.893,NA,27.995,27.887,NA,NA
P34,C21_ane_NA,28.3,NA,28.281,28.281,28.326,28.275,28.383,28.339,28.256,28.288,28.275
P35,,28.485,28.485,NA,NA,NA,NA,NA,NA,NA,NA,NA
P36,,29.039,29.064,29.032,NA,NA,29.026,29.038,29.032,NA,29.039,29.045
P37,,29.572,NA,29.566,29.592,29.611,29.554,NA,29.579,29.548,29.573,29.554
P38,,29.659,NA,NA,NA,NA,29.656,29.662,NA,NA,NA,NA
P39,C22_ane_NA,30.044,30.095,30.025,30.044,30.069,30.018,30.063,30.037,29.999,30.063,30.025
P40,,30.207,NA,30.203,30.222,30.235,30.203,NA,NA,30.19,NA,30.19
P41,,30.483,30.527,30.476,30.483,30.495,30.47,30.495,30.476,30.457,30.496,30.457
P42,,30.769,NA,30.769,NA,NA,NA,NA,NA,NA,NA,NA
P43,,31.009,31.043,30.992,31.011,31.036,30.998,31.023,30.992,30.985,31.024,30.985
P44,C23_ene_NA,31.199,NA,31.195,31.202,31.208,31.202,31.202,31.189,31.195,31.202,31.195
P45,C23_ene_NA,31.317,NA,31.316,31.322,31.329,31.316,31.316,31.31,31.31,31.316,31.316
P46,,31.494,NA,NA,NA,NA,31.494,NA,NA,NA,NA,NA
P47,,31.576,NA,31.577,NA,31.577,31.583,NA,31.564,31.571,31.583,31.577
