Season,Task,Subspecies,Individual
Winter,In-hive workers,A. m. mellifera,335
Winter,In-hive workers,A. m. mellifera,342
Winter,In-hive workers,A. m. mellifera,343
Winter,In-hive workers,A. m. mellifera,344
Winter,In-hive workers,A. m. mellifera,354
Winter,In-hive workers,A. m. mellifera,346
Winter,In-hive workers,A. m. mellifera,349
Winter,In-hive workers,A. m. mellifera,350
Winter,In-hive workers,A. m. mellifera,351
Winter,In-hive workers,A. m. mellifera,352
Winter,Out-hive workers,A. m. mellifera,328
Winter,Out-hive workers,A. m. mellifera,331
Winter,Out-hive workers,A. m. mellifera,332
Winter,Out-hive workers,A. m. mellifera,333
Winter,Out-hive workers,A. m. mellifera,334
Winter,Out-hive workers,A. m. mellifera,337
Winter,Out-hive workers,A. m. mellifera,338
Winter,Out-hive workers,A. m. mellifera,339
Winter,Out-hive workers,A. m. mellifera,341
Winter,Out-hive workers,A. m. mellifera,345
