#Peaks: + TIC Scan - DR_338.D (DR_338.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.119,378540.43,52581.42,,,0.414,0.058,,
2,6.504,16629.48,3484.09,,,0.14,0.083,,
3,7.44,106854.84,21114.61,,,0.261,0.052,,
4,11.747,66050.4,22797.76,,,0.134,0.042,,
5,15.971,3484.6,2098.11,,,0.056,0.026,,
6,16.168,12060.65,1839.45,,,0.178,0.255,,
7,19.928,23031.66,4685.7,,,0.22,0.076,,
8,23.268,14671.91,4896.6,,,0.108,0.046,,
9,23.529,14490.9,2455.71,,,0.178,0.133,,
10,24.21,88166.51,5908.9,,,0.464,0.324,,
11,26.271,7742.56,2714.19,,,0.108,0.039,,
12,27.206,10616.93,1570.41,,,0.216,0.659,,
13,27.995,16889.47,2251.08,,,0.229,0.179,,
14,28.339,114886.09,12727.52,,,0.356,0.138,,
15,29.032,5564.84,2652.38,,,0.082,0.041,,
16,29.579,19479.1,2451.57,,,0.248,0.167,,
17,30.037,323238.02,57269.8,,,0.365,0.073,,
18,30.476,24725.79,6783.57,,,0.164,0.055,,
19,30.992,4151630.44,743005.48,,,0.211,0.075,,
20,31.189,1553819.55,455581.63,,,0.121,0.047,,
21,31.31,721892.02,189989.98,,,0.181,0.054,,
22,31.564,15678.67,8526.63,,,0.062,0.029,,
23,31.685,6260808.04,2224865.66,,,0.204,0.042,,
24,32.868,87003.55,17737.45,,,0.203,0.071,,
25,33.085,64277,16299.72,,,0.133,0.062,,
26,33.307,280069.01,85329.49,,,0.158,0.051,,
27,33.524,540636.99,101126.37,,,0.259,0.079,,
28,34.433,1370946.53,421095.32,,,0.14,0.047,,
29,34.567,808415.67,240980.81,,,0.172,0.05,,
30,34.885,10504094.21,3451744.58,,,0.216,0.046,,
31,35.407,125173.36,29920.26,,,0.163,0.062,,
32,35.661,15839.14,4621.02,,,0.121,0.155,,
33,35.992,49370.38,14030.56,,,0.115,0.069,,
34,36.107,33388.33,8504.27,,,0.106,0.086,,
35,36.272,39838.53,10542.48,,,0.092,0.068,,
36,36.374,669736.86,189783.91,,,0.2,0.052,,
37,36.647,301410.81,64604.21,,,0.19,0.072,,
38,36.876,21050.68,6007.23,,,0.1,0.06,,
39,37.137,16709.21,6112.8,,,0.076,0.042,,
40,37.443,1858524.38,526652.72,,,0.153,0.049,,
41,37.564,1745287.5,515257.3,,,0.172,0.048,,
42,37.875,22501239.15,6304504.4,,,0.248,0.053,,
43,38.302,509016.32,103928.8,,,0.233,0.069,,
44,38.887,133368.06,15750.09,,,0.279,0.16,,
45,39.237,471507.41,115304.29,,,0.222,0.058,,
46,39.669,23259.77,5227.28,,,0.16,0.039,,
47,39.892,45470.65,12701.5,,,0.108,0.072,,
48,39.975,216775.14,62317.5,,,0.108,0.052,,
49,40.089,227095.21,52831.5,,,0.102,0.091,,
50,40.248,2768278.87,770542.5,,,0.14,0.058,,
51,40.306,3379868.6,771482.5,,,0.21,0.063,,
52,40.605,11280566.68,3535546.39,,,0.248,0.045,,
53,41.005,315891.58,67646.72,,,0.194,0.067,,
54,41.387,79921.33,15197.89,,,0.213,0.075,,
55,41.597,379894.48,42957.42,,,0.31,0.158,,
56,41.909,121913.04,31796.06,,,0.174,0.055,,
57,42.303,5888.24,2353.45,,,0.092,0.052,,
58,42.539,500724.7,153804.54,,,0.127,0.059,,
59,42.634,2299166.31,605872.84,,,0.127,0.054,,
60,42.863,12072895.72,3428077.59,,,0.153,0.051,,
61,42.939,6390482.45,1993002.13,,,0.171,0.048,,
62,43.168,3638715.1,1082081.86,,,0.229,0.048,,
63,43.537,107815.19,26521.58,,,0.14,0.057,,
64,43.849,247351.44,39556.28,,,0.205,0.11,,
65,44.104,290211.45,48959.42,,,0.22,0.095,,
66,45.045,5255182.25,1034355.5,,,0.254,0.059,,
67,45.325,14128231.63,2862191.06,,,0.337,0.055,,
68,45.611,431547.15,68701.23,,,0.216,0.117,,
69,46.547,1996355.9,127793.95,,,0.739,0.216,,
70,47.374,544661.33,83925.14,,,0.219,0.095,,
71,47.609,429805.03,41594.64,,,0.337,0.154,,
72,49.778,83817.36,7704.42,,,0.397,0.145,,
73,51.223,49241.88,8768.47,,,0.19,0.115,,
74,53.57,110364.33,6428.92,,,0.496,0.34,,
75,54.607,212966.59,25859.61,,,0.295,0.134,,
76,55.199,1349959.07,61013.68,,,0.897,0.324,,
77,57.566,375099.73,15092.11,,,0.719,0.498,,

