#Peaks: + TIC Scan - DR_335.D (DR_335.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.125,71391.13,26977.8,,,0.114,0.037,,
2,4.335,21548.47,6010.79,,,0.114,0.137,,
3,5.206,54965.71,7785.39,,,0.248,0.11,,
4,6.116,25206.55,4511.43,,,0.178,0.093,,
5,6.517,36998.39,8107.02,,,0.18,0.076,,
6,7.44,81050.12,18098.72,,,0.242,0.045,,
7,11.747,64349.09,24164.56,,,0.121,0.041,,
8,15.977,11912.08,4135.75,,,0.095,0.045,,
9,16.092,20604.96,2557.59,,,0.254,0.161,,
10,19.909,27172.84,7375.8,,,0.139,0.064,,
11,21.544,8162.54,1497.84,,,0.159,0.29,,
12,23.262,34474.72,6862.98,,,0.223,0.09,,
13,24.012,953009.14,134036.35,,,0.431,0.086,,
14,24.598,11129.8,3083.86,,,0.121,0.056,,
15,26.271,6322.08,2868.2,,,0.064,0.041,,
16,27.041,15668.52,2464.71,,,0.191,0.493,,
17,27.804,64532.8,6811.29,,,0.376,0.179,,
18,28.269,187448.38,28437.54,,,0.383,0.069,,
19,29.038,8401.23,2914.5,,,0.089,0.059,,
20,29.516,26434.13,3235.68,,,0.242,0.178,,
21,29.986,807448.66,96361.77,,,0.462,0.122,,
22,30.457,30377.34,10068.19,,,0.114,0.049,,
23,31.023,30041055.37,7748437.28,,,0.231,0.056,,
24,31.189,1267047.29,285805.76,,,0.115,0.072,,
25,31.303,487995.94,114993.77,,,0.151,0.067,,
26,31.672,2917141.2,1081079.47,,,0.155,0.041,,
27,31.889,27382.48,9582.66,,,0.089,0.054,,
28,32.111,53148.31,12999.16,,,0.127,0.059,,
29,32.258,19331.56,6289.47,,,0.074,0.043,,
30,32.843,80219.92,17152.18,,,0.161,0.074,,
31,33.059,224041.32,53283.07,,,0.17,0.063,,
32,33.206,19196.91,5987.79,,,0.083,0.074,,
33,33.307,193601.92,59212.37,,,0.134,0.05,,
34,33.498,785772.24,134254.41,,,0.437,0.08,,
35,34.064,15526.33,4544.49,,,0.127,0.055,,
36,34.44,804911.99,229322.76,,,0.153,0.05,,
37,34.567,387891.04,111021.75,,,0.176,0.052,,
38,34.872,6310276.46,2097615.48,,,0.235,0.044,,
39,35.407,363769.22,80729.84,,,0.225,0.064,,
40,35.636,40841.58,8234.13,,,0.165,0.079,,
41,35.979,99417.64,20413.83,,,0.161,0.074,,
42,36.132,33733.56,7414.95,,,0.108,0.094,,
43,36.24,160747.85,34725.48,,,0.14,0.074,,
44,36.38,502577.43,138536,,,0.21,0.052,,
45,36.628,588768.96,111016.06,,,0.261,0.077,,
46,36.87,38444.67,8869.33,,,0.129,0.064,,
47,37.023,6334.58,3284.66,,,0.065,0.033,,
48,37.118,4538.67,2551.52,,,0.056,0.031,,
49,37.449,1336852.4,329989.5,,,0.184,0.052,,
50,37.563,841126.8,215003.5,,,0.172,0.058,,
51,37.856,13111700.41,4221678.96,,,0.223,0.046,,
52,38.289,856896.52,186984.57,,,0.235,0.064,,
53,38.887,63189.87,17650.28,,,0.108,0.12,,
54,39.008,115953.7,18764.86,,,0.16,0.133,,
55,39.237,483949.05,117172.61,,,0.273,0.056,,
56,39.561,4887.73,2881.51,,,0.055,0.042,,
57,39.676,26474.3,8196.81,,,0.143,0.045,,
58,39.892,48407.12,15485.68,,,0.085,0.071,,
59,39.981,199820.07,56806.33,,,0.102,0.055,,
60,40.083,302439.16,76785.91,,,0.102,0.076,,
61,40.255,3543632.08,743864.74,,,0.153,0.081,,
62,40.312,5601657.77,1606380.99,,,0.21,0.051,,
63,40.611,11878085.61,3810195.86,,,0.216,0.045,,
64,40.999,466745.36,106160.39,,,0.199,0.065,,
65,41.381,92484.46,28613.1,,,0.118,0.053,,
66,41.591,825305.54,104605.35,,,0.299,0.127,,
67,41.909,126472.12,34297.56,,,0.169,0.055,,
68,42.29,8431.24,3703.2,,,0.092,0.035,,
69,42.545,1409499.26,381955.08,,,0.159,0.058,,
70,42.64,6088173.33,1506219.12,,,0.127,0.06,,
71,42.723,1488205.57,354412.66,,,0.076,0.089,,
72,42.888,25153876.08,6502658.89,,,0.153,0.057,,
73,42.965,11691238.45,3727735.48,,,0.184,0.045,,
74,43.175,4253916.4,1137326,,,0.254,0.049,,
75,43.537,300994.35,58491.35,,,0.184,0.072,,
76,43.849,676622.41,103696.5,,,0.227,0.12,,
77,44.097,482125.55,81449.64,,,0.239,0.088,,
78,45.064,12843254.63,2706486.5,,,0.261,0.055,,
79,45.242,2326561.04,737284.5,,,0.07,0.061,,
80,45.338,16425631.27,4058392.67,,,0.204,0.051,,
81,45.605,280375.81,59277.87,,,0.152,0.098,,
82,45.949,86940.79,19111.35,,,0.141,0.075,,
83,46.235,161731.7,29787.12,,,0.154,0.185,,
84,46.521,890283.06,52889.13,,,0.636,0.241,,
85,47.361,1137127.84,174082.48,,,0.254,0.086,,
86,47.59,553796.48,55076.52,,,0.356,0.189,,
87,49.753,40130.64,11613.18,,,0.133,0.054,,
88,51.204,83816.07,12436.96,,,0.237,0.099,,
89,52.215,43734.05,4734.79,,,0.261,0.296,,
90,53.621,78977.58,6927.52,,,0.405,0.591,,
91,54.238,29508.8,6150.59,,,0.153,0.139,,
92,54.607,611095.71,60519.22,,,0.394,0.148,,
93,55.161,736269.01,29611.9,,,0.808,0.389,,
94,57.604,377724.47,14458.14,,,0.693,0.543,,

