 + TIC Scan DR_328.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
1,4.093,4.138,4.424,27167.36,171986.51,0.64,0.39,0.12,0.331,0.06,22772,14504,4.093,4.106,5.83,6.104,13645.91,12039.36,4.83,40597,,,  ,281,,,,,,,,,,
2,6.498,6.549,6.632,2709.47,9863.89,0.04,0.04,0.01,0.134,0.382,6077,5871,6.212,6.498,7.128,7.414,6077,5871,0.24,8708,,,  ,57.1,,,,,,,,,,
3,7.401,7.459,7.63,10466.5,48962.02,0.18,0.15,0.03,0.229,0.047,4299,4225,7.128,7.414,8.05,8.159,4299,4225,3.93,14747,,,  ,73,,,,,,,,,,
4,11.717,11.766,11.816,9421.12,23642.63,0.09,0.14,0.02,0.1,0.038,3024.3,3031.56,11.518,11.728,12.466,12.536,3024.3,3031.56,1.16,12449,,,  ,73,,,,,,,,,,
5,19.909,20.011,20.183,2139.23,16873.22,0.06,0.03,0.01,0.274,0.134,1533,1525,18.688,19.954,22.785,23.275,1533,1397.99,1.02,3622,,,  ,44,,,,,,,,,,
6,23.275,23.325,23.401,2819.62,9383.53,0.03,0.04,0.01,0.126,0.062,1594,1534.19,22.785,23.275,23.383,23.586,1496,1534.19,1.28,4331,,,  ,73.1,,,,,,,,,,
7,23.58,23.644,23.764,1407.93,8979.22,0.03,0.02,0.01,0.185,0.205,1354,1215,23.383,23.586,24.032,24.216,1354,1215,1.04,2714,,,  ,44,,,,,,,,,,
8,24.244,24.452,25.02,4892.15,99945.57,0.37,0.07,0.07,0.776,0.332,1857.53,2214.5,24.032,24.216,25.972,26.023,1857.53,2214.5,2.97,6845,,,  ,41,,,,,,,,,,
9,26.256,26.297,26.347,2493.96,6443.12,0.02,0.04,0,0.092,0.041,1500.88,1540,25.972,26.023,26.347,26.576,1500.88,1487.77,1.52,3989,,,  ,73,,,,,,,,,,
10,28.332,28.485,28.676,3584.44,36303.57,0.14,0.05,0.02,0.344,0.18,1258,1392,27.537,28.04,28.695,29.026,1258,1392,1.45,4902,,,  ,57.1,,,,,,,,,,
11,29.019,29.064,29.109,2791,7785.33,0.03,0.04,0.01,0.089,0.045,1227,987,28.695,29.026,29.217,29.242,1227,987,1.02,3898,,,  ,73,,,,,,,,,,
12,30.026,30.095,30.394,45952.07,285348.19,1.06,0.67,0.19,0.367,0.08,1343.24,2914,29.694,29.98,30.425,30.502,1343.24,2117.58,4.07,47439,,,  ,55.1,,,,,,,,,,
13,30.502,30.527,30.597,2049.21,6264.26,0.02,0.03,0,0.095,0.065,2307,1740,30.425,30.502,30.686,30.966,2307,1740,1.96,4205,,,  ,44,,,,,,,,,,
14,30.975,31.043,31.615,429717.27,4194913.29,15.63,6.25,2.82,0.64,0.099,3437.91,36755,30.686,30.966,31.628,31.647,3437.91,33690.06,8.54,436344,,,  ,55.1,,,,,,,,,,
15,31.65,31.698,31.819,279182.32,886965.54,3.3,4.06,0.6,0.169,0.048,41842.77,31180,31.628,31.647,32.073,32.181,41842.77,31163.88,1.43,317997,,,  ,57.1,,,,,,,,,,
16,32.156,32.188,32.381,3351.88,31608.68,0.12,0.05,0.02,0.225,0.213,14750,10818.22,32.073,32.181,32.665,32.926,14504.1,10818.22,1.23,17334,,,  ,55,,,,,,,,,,
17,33.123,33.167,33.225,3222.03,12000.84,0.04,0.05,0.01,0.102,0.079,7028.55,7389,33.053,33.123,33.199,33.307,7028.55,7217.09,1.34,10333,,,  ,55.1,,,,,,,,,,
18,33.295,33.352,33.447,18961.12,70698.26,0.26,0.28,0.05,0.153,0.057,7448,7808,33.199,33.307,33.498,33.556,7346.79,7629.74,1.76,26414,,,  ,57.1,,,,,,,,,,
19,33.561,33.619,33.778,13049.91,74382.43,0.28,0.19,0.05,0.218,0.087,6843.62,5717,33.498,33.556,33.797,33.835,6843.62,5627.37,2.18,19566,,,  ,57.1,,,,,,,,,,
20,33.886,33.956,33.988,2924.33,10607.93,0.04,0.04,0.01,0.102,0.073,5147,4418.81,33.797,33.835,34.001,34.103,4913.55,4418.81,0.22,7498,,,  ,73,,,,,,,,,,
21,34.389,34.484,34.554,42568.07,176971.49,0.66,0.62,0.12,0.165,0.062,4112,10932,34.224,34.3,34.542,34.567,3806.13,4674.18,1.53,46875,,,  ,57.1,,,,,,,,,,
22,34.554,34.605,34.706,24258.71,89714.7,0.33,0.35,0.06,0.151,0.055,10932,5467.38,34.542,34.567,34.707,34.783,4674.18,5467.38,1,29200,,,  ,43.1,,,,,,,,,,
23,34.815,34.892,35.051,984127.57,3525662.62,13.13,14.31,2.37,0.235,0.049,6968,29095,34.707,34.783,35.337,35.375,4989.06,5258.44,1.55,989204,,,  ,57.1,,,,,,,,,,
24,35.388,35.445,35.617,28203.26,159816.76,0.6,0.41,0.11,0.229,0.08,7333.67,6472,35.337,35.375,35.909,35.992,7333.67,6381.98,2.51,35300,,,  ,57.1,,,,,,,,,,
25,36.119,36.164,36.215,6033.65,14037.81,0.05,0.09,0.01,0.095,0.04,6309,6028.54,35.909,35.992,36.24,36.298,6281.39,6028.54,1.08,12197,,,  ,73,,,,,,,,,,
26,36.323,36.412,36.596,66401.16,315158.67,1.17,0.97,0.21,0.273,0.065,7675,5316.7,36.24,36.298,36.622,36.654,5855.25,5316.7,2.29,72081,,,  ,57.1,,,,,,,,,,
27,36.653,36.705,36.829,13035.91,59685.59,0.22,0.19,0.04,0.176,0.069,5140.54,4893.94,36.622,36.654,36.813,36.87,5140.54,4893.94,1.91,18104,,,  ,57.1,,,,,,,,,,
