#Peaks: + TIC Scan - STDH2005.D (STDH2005.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.551,173196.42,111595.19,,,0.13,0.022,,
2,7.58,128616.05,66784.03,,,0.094,0.03,,
3,7.974,26159.9,3358.24,,,0.254,0.469,,
4,11.753,143616.35,60010.7,,,0.113,0.037,,
5,15.946,44989.53,14552.77,,,0.107,0.047,,
6,16.124,6860.57,2186.87,,,0.113,0.048,,
7,19.795,13242.45,5229.51,,,0.089,0.042,,
8,19.909,22743.16,6298.45,,,0.138,0.055,,
9,23.236,17174.59,5733.51,,,0.132,0.039,,
10,26.246,8639.25,4425.24,,,0.082,0.027,,
11,26.665,10574.18,2031.73,,,0.153,0.12,,
12,28.243,15069585.6,4739455.86,,,0.21,0.046,,
13,29.032,18533.51,5316.78,,,0.117,0.058,,
14,29.567,2651.26,1679.84,,,0.057,0.223,,
15,30.012,16032906.08,5209302.05,,,0.221,0.044,,
16,31.711,16947748.78,5328821.28,,,0.178,0.047,,
17,32.913,6240.81,2399.63,,,0.095,0.173,,
18,33.333,17890609.91,5528017.61,,,0.216,0.047,,
19,33.924,11652.21,5060.83,,,0.071,0.035,,
20,34.898,18174217.18,5398039.54,,,0.223,0.049,,
21,36.164,15010.77,5547.21,,,0.107,0.036,,
22,36.406,18702160.42,5702017.71,,,0.223,0.047,,
23,37.863,19076355.29,5803016.06,,,0.229,0.048,,
24,39.269,20295405.31,5846255.45,,,0.223,0.048,,
25,40.191,8447.21,3285.47,,,0.089,0.124,,
26,40.63,22824752.57,6544383.03,,,0.229,0.048,,
27,41.947,24567357.55,6649433.72,,,0.235,0.051,,
28,43.219,23083094.2,6324557.62,,,0.235,0.049,,
29,44.447,20622027.7,5600996.95,,,0.229,0.049,,
30,45.637,16564509.62,4395351.95,,,0.229,0.048,,
31,46.788,12553661.03,3092504.43,,,0.254,0.048,,
32,47.914,8084060.97,1647519.55,,,0.305,0.055,,
33,49.098,5802988.83,732350.99,,,0.48,0.09,,
34,50.497,3594921.59,246201.31,,,0.888,0.171,,
35,52.209,1699312.17,84121.33,,,0.891,0.306,,
36,54.289,868221.54,27049.88,,,1.176,0.527,,

