#Peaks: + TIC Scan - STDL2005.D (STDL2005.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.144,14912787.1,4364317.44,,,0.208,0.042,,
2,6.097,15087302.47,5099454.33,,,0.184,0.04,,
3,6.307,802403.79,115174.03,,,0.279,0.127,,
4,7.44,30592.24,9239.93,,,0.155,0.041,,
5,8.432,16692346.8,5966458.18,,,0.191,0.039,,
6,8.687,570534.07,85713.82,,,0.28,0.1,,
7,10.92,18230515.13,6375914.9,,,0.197,0.042,,
8,11.174,591957.88,87262.35,,,0.285,0.105,,
9,11.747,52372.52,19295.67,,,0.117,0.04,,
10,13.413,19599458.68,6884470.69,,,0.17,0.044,,
11,13.662,608958.38,94289.25,,,0.261,0.11,,
12,15.831,21306679.32,7123130.71,,,0.197,0.046,,
13,16.073,871688.44,119586.03,,,0.375,0.114,,
14,18.153,22857013.33,7254123.94,,,0.199,0.048,,
15,18.369,789959.73,123868.2,,,0.318,0.105,,
16,19.833,17016.27,7306.7,,,0.08,0.039,,
17,20.373,23806906.05,7614053.47,,,0.183,0.048,,
18,20.571,854833.72,131724.45,,,0.317,0.105,,
19,21.436,7346.15,3288.37,,,0.089,0.256,,
20,21.779,7393.57,2214.95,,,0.108,0.281,,
21,22.486,24960100.96,7768051.96,,,0.191,0.048,,
22,22.657,724464.03,138288.35,,,0.248,0.085,,
23,24.496,25510754.55,7759509.77,,,0.221,0.048,,
24,24.674,1187423.52,187625.44,,,0.318,0.088,,
25,26.405,17963956.53,2608422.16,,,0.451,0.067,,
26,35.731,5917211.62,230140.28,,,1.507,0.29,,
27,49.378,2001.14,3109.24,,,0.019,1.079,,
28,54.022,36161.83,4387.52,,,0.274,3.687,,

